Arabic Conjugation,Baab Name,Arabic Root,Urdu Translation,Meaning,Fael Text,Number,Gender,Person
تَشْفَعَانِ,فتح,شفع,آپ (دو مرد) سفارش کرتے ہو,سفارش کرنا,مضارع معروف,تثنیہ,مذکر,حاضر
تَشْفَعُوْنَ,فتح,شفع,آپ (سب مرد) سفارش کرتے ہو,سفارش کرنا,مضارع معروف,جمع,مذکر,حاضر
تَشْفَعِیْنَ,فتح,شفع,آپ (ایک عورت) سفارش کرتی ہو,سفارش کرنا,مضارع معروف,واحد,مونث,حاضر
تَشْفَعَانِ,فتح,شفع,آپ (دو عورتیں) سفارش کرتی ہیں,سفارش کرنا,مضارع معروف,تثنیہ,مونث,حاضر
تَشْفَعْنَ,فتح,شفع,آپ (سب عورتیں) سفارش کرتی ہیں,سفارش کرنا,مضارع معروف,جمع,مونث,حاضر
اَشْفَعُ,فتح,شفع,میں (ایک مرد) سفارش کرتا ہوں,سفارش کرنا,مضارع معروف,واحد,مذکر,متکلم
نَشْفَعُ,فتح,شفع,ہم (دو مرد) سفارش کرتے ہیں,سفارش کرنا,مضارع معروف,تثنیہ,مذکر,متکلم
نَشْفَعُ,فتح,شفع,ہم (سب مرد) سفارش کرتے ہیں,سفارش کرنا,مضارع معروف,جمع,مذکر,متکلم
اَشْفَعُ,فتح,شفع,میں (ایک عورت) سفارش کرتی ہوں,سفارش کرنا,مضارع معروف,واحد,مونث,متکلم
نَشْفَعُ,فتح,شفع,ہم (دو عورتیں) سفارش کرتی ہیں,سفارش کرنا,مضارع معروف,تثنیہ,مونث,متکلم
نَشْفَعُ,فتح,شفع,ہم (سب عورتیں) سفارش کرتی ہیں,سفارش کرنا,مضارع معروف,جمع,مونث,متکلم
لَا یَشْفَعُ,فتح,شفع,وہ (ایک مرد)  نہیں سفارش کرتا ہے,سفارش کرنا,مضارع معروف نفی,واحد,مذکر,غائب
لَا یَشْفَعَانِ,فتح,شفع,وہ (دو مرد)  نہیں سفارش کرتے ہیں,سفارش کرنا,مضارع معروف نفی,تثنیہ,مذکر,غائب
لَا یَشْفَعُوْنَ,فتح,شفع,وہ (سب مرد)  نہیں سفارش کرتے ہیں,سفارش کرنا,مضارع معروف نفی,جمع,مذکر,غائب
لَا تَشْفَعُ,فتح,شفع,وہ (ایک عورت)  نہیں سفارش کرتی ہے,سفارش کرنا,مضارع معروف نفی,واحد,مونث,غائب
لَا تَشْفَعَانِ,فتح,شفع,وہ (دو عورتیں)  نہیں سفارش کرتی ہیں,سفارش کرنا,مضارع معروف نفی,تثنیہ,مونث,غائب
لَا یَشْفَعْنَ,فتح,شفع,وہ (سب عورتیں)  نہیں سفارش کرتی ہیں,سفارش کرنا,مضارع معروف نفی,جمع,مونث,غائب
لَا تَشْفَعُ,فتح,شفع,آپ (ایک مرد)  نہیں سفارش کرتے ہو,سفارش کرنا,مضارع معروف نفی,واحد,مذکر,حاضر
لَا تَشْفَعَانِ,فتح,شفع,آپ (دو مرد)  نہیں سفارش کرتے ہو,سفارش کرنا,مضارع معروف نفی,تثنیہ,مذکر,حاضر
لَا تَشْفَعُوْنَ,فتح,شفع,آپ (سب مرد)  نہیں سفارش کرتے ہو,سفارش کرنا,مضارع معروف نفی,جمع,مذکر,حاضر
لَا تَشْفَعِیْنَ,فتح,شفع,آپ (ایک عورت)  نہیں سفارش کرتی ہو,سفارش کرنا,مضارع معروف نفی,واحد,مونث,حاضر
لَا تَشْفَعَانِ,فتح,شفع,آپ (دو عورتیں)  نہیں سفارش کرتی ہیں,سفارش کرنا,مضارع معروف نفی,تثنیہ,مونث,حاضر
لَا تَشْفَعْنَ,فتح,شفع,آپ (سب عورتیں)  نہیں سفارش کرتی ہیں,سفارش کرنا,مضارع معروف نفی,جمع,مونث,حاضر
لَا اَشْفَعُ,فتح,شفع,میں (ایک مرد)  نہیں سفارش کرتا ہوں,سفارش کرنا,مضارع معروف نفی,واحد,مذکر,متکلم
لَا نَشْفَعُ,فتح,شفع,ہم (دو مرد)  نہیں سفارش کرتے ہیں,سفارش کرنا,مضارع معروف نفی,تثنیہ,مذکر,متکلم
لَا نَشْفَعُ,فتح,شفع,ہم (سب مرد)  نہیں سفارش کرتے ہیں,سفارش کرنا,مضارع معروف نفی,جمع,مذکر,متکلم
لَا اَشْفَعُ,فتح,شفع,میں (ایک عورت)  نہیں سفارش کرتی ہوں,سفارش کرنا,مضارع معروف نفی,واحد,مونث,متکلم
لَا نَشْفَعُ,فتح,شفع,ہم (دو عورتیں)  نہیں سفارش کرتی ہیں,سفارش کرنا,مضارع معروف نفی,تثنیہ,مونث,متکلم
لَا نَشْفَعُ,فتح,شفع,ہم (سب عورتیں)  نہیں سفارش کرتی ہیں,سفارش کرنا,مضارع معروف نفی,جمع,مونث,متکلم
بَخَسَ,فتح,بخس,اس (ایک مرد) نے  کمی کی,کمی کرنا,ماضی معروف,واحد,مذکر,غائب
بَخَسَا,فتح,بخس,ان (دو مردوں) نے  کمی کی,کمی کرنا,ماضی معروف,تثنیہ,مذکر,غائب
بَخَسُوْا,فتح,بخس,ان (سب مردوں) نے  کمی کی,کمی کرنا,ماضی معروف,جمع,مذکر,غائب
بَخَسَتْ,فتح,بخس,اس (ایک عورت) نے  کمی کی,کمی کرنا,ماضی معروف,واحد,مونث,غائب
بَخَسَتَا,فتح,بخس,ان (دو عورتوں) نے  کمی کی,کمی کرنا,ماضی معروف,تثنیہ,مونث,غائب
بَخَسْنَ,فتح,بخس,ان (سب عورتوں) نے  کمی کی,کمی کرنا,ماضی معروف,جمع,مونث,غائب
بَخَسْتَ,فتح,بخس,آپ ایک مرد نے  کمی کی,کمی کرنا,ماضی معروف,واحد,مذکر,حاضر
بَخَسْتُمَا,فتح,بخس,آپ دو مردوں نے  کمی کی,کمی کرنا,ماضی معروف,تثنیہ,مذکر,حاضر
بَخَسْتُمْ,فتح,بخس,آپ سب مردوں نے  کمی کی,کمی کرنا,ماضی معروف,جمع,مذکر,حاضر
بَخَسْتِ,فتح,بخس,آپ (ایک عورت) نے  کمی کی,کمی کرنا,ماضی معروف,واحد,مونث,حاضر
بَخَسْتُمَا,فتح,بخس,آپ (دو عورتوں) نے  کمی کی,کمی کرنا,ماضی معروف,تثنیہ,مونث,حاضر
بَخَسْتُنَّ,فتح,بخس,آپ (سب عورتوں) نے  کمی کی,کمی کرنا,ماضی معروف,جمع,مونث,حاضر
بَخَسْتُ,فتح,بخس,میں (ایک مرد) نے  کمی کی,کمی کرنا,ماضی معروف,واحد,مذکر,متکلم
بَخَسْنَا,فتح,بخس,ہم (دو مردوں) نے  کمی کی,کمی کرنا,ماضی معروف,تثنیہ,مذکر,متکلم
بَخَسْنَا,فتح,بخس,ہم (سب مردوں) نے  کمی کی,کمی کرنا,ماضی معروف,جمع,مذکر,متکلم
بَخَسْتُ,فتح,بخس,میں (ایک عورت) نے  کمی کی,کمی کرنا,ماضی معروف,واحد,مونث,متکلم
بَخَسْنَا,فتح,بخس,ہم (دو عورتوں) نے  کمی کی,کمی کرنا,ماضی معروف,تثنیہ,مونث,متکلم
بَخَسْنَا,فتح,بخس,ہم (سب عورتوں) نے  کمی کی,کمی کرنا,ماضی معروف,جمع,مونث,متکلم
مَا بَخَسَ,فتح,بخس,اس (ایک مرد) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,واحد,مذکر,غائب
مَا بَخَسَا,فتح,بخس,ان (دو مردوں) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,تثنیہ,مذکر,غائب
مَا بَخَسُوْا,فتح,بخس,ان (سب مردوں) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,جمع,مذکر,غائب
مَا بَخَسَتْ,فتح,بخس,اس (ایک عورت) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,واحد,مونث,غائب
مَا بَخَسَتَا,فتح,بخس,ان (دو عورتوں) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,تثنیہ,مونث,غائب
مَا بَخَسْنَ,فتح,بخس,ان (سب عورتوں) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,جمع,مونث,غائب
مَا بَخَسْتَ,فتح,بخس,آپ ایک مرد نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,واحد,مذکر,حاضر
مَا بَخَسْتُمَا,فتح,بخس,آپ دو مردوں نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,تثنیہ,مذکر,حاضر
مَا بَخَسْتُمْ,فتح,بخس,آپ سب مردوں نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,جمع,مذکر,حاضر
مَا بَخَسْتِ,فتح,بخس,آپ (ایک عورت) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,واحد,مونث,حاضر
مَا بَخَسْتُمَا,فتح,بخس,آپ (دو عورتوں) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,تثنیہ,مونث,حاضر
مَا بَخَسْتُنَّ,فتح,بخس,آپ (سب عورتوں) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,جمع,مونث,حاضر
مَا بَخَسْتُ,فتح,بخس,میں (ایک مرد) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,واحد,مذکر,متکلم
مَا بَخَسْنَا,فتح,بخس,ہم (دو مردوں) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,تثنیہ,مذکر,متکلم
مَا بَخَسْنَا,فتح,بخس,ہم (سب مردوں) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,جمع,مذکر,متکلم
مَا بَخَسْتُ,فتح,بخس,میں (ایک عورت) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,واحد,مونث,متکلم
مَا بَخَسْنَا,فتح,بخس,ہم (دو عورتوں) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,تثنیہ,مونث,متکلم
مَا بَخَسْنَا,فتح,بخس,ہم (سب عورتوں) نے  نہیں  کمی کی,کمی کرنا,ماضی معروف نفی,جمع,مونث,متکلم
یَبْخَسُ,فتح,بخس,وہ (ایک مرد) کمی کرتا ہے,کمی کرنا,مضارع معروف,واحد,مذکر,غائب
یَبْخَسَانِ,فتح,بخس,وہ (دو مرد) کمی کرتے ہیں,کمی کرنا,مضارع معروف,تثنیہ,مذکر,غائب
یَبْخَسُوْنَ,فتح,بخس,وہ (سب مرد) کمی کرتے ہیں,کمی کرنا,مضارع معروف,جمع,مذکر,غائب
تَبْخَسُ,فتح,بخس,وہ (ایک عورت) کمی کرتی ہے,کمی کرنا,مضارع معروف,واحد,مونث,غائب
تَبْخَسَانِ,فتح,بخس,وہ (دو عورتیں) کمی کرتی ہیں,کمی کرنا,مضارع معروف,تثنیہ,مونث,غائب
یَبْخَسْنَ,فتح,بخس,وہ (سب عورتیں) کمی کرتی ہیں,کمی کرنا,مضارع معروف,جمع,مونث,غائب
تَبْخَسُ,فتح,بخس,آپ (ایک مرد) کمی کرتے ہو,کمی کرنا,مضارع معروف,واحد,مذکر,حاضر
تَبْخَسَانِ,فتح,بخس,آپ (دو مرد) کمی کرتے ہو,کمی کرنا,مضارع معروف,تثنیہ,مذکر,حاضر
تَبْخَسُوْنَ,فتح,بخس,آپ (سب مرد) کمی کرتے ہو,کمی کرنا,مضارع معروف,جمع,مذکر,حاضر
تَبْخَسِیْنَ,فتح,بخس,آپ (ایک عورت) کمی کرتی ہو,کمی کرنا,مضارع معروف,واحد,مونث,حاضر
تَبْخَسَانِ,فتح,بخس,آپ (دو عورتیں) کمی کرتی ہیں,کمی کرنا,مضارع معروف,تثنیہ,مونث,حاضر
تَبْخَسْنَ,فتح,بخس,آپ (سب عورتیں) کمی کرتی ہیں,کمی کرنا,مضارع معروف,جمع,مونث,حاضر
اَبْخَسُ,فتح,بخس,میں (ایک مرد) کمی کرتا ہوں,کمی کرنا,مضارع معروف,واحد,مذکر,متکلم
نَبْخَسُ,فتح,بخس,ہم (دو مرد) کمی کرتے ہیں,کمی کرنا,مضارع معروف,تثنیہ,مذکر,متکلم
نَبْخَسُ,فتح,بخس,ہم (سب مرد) کمی کرتے ہیں,کمی کرنا,مضارع معروف,جمع,مذکر,متکلم
اَبْخَسُ,فتح,بخس,میں (ایک عورت) کمی کرتی ہوں,کمی کرنا,مضارع معروف,واحد,مونث,متکلم
نَبْخَسُ,فتح,بخس,ہم (دو عورتیں) کمی کرتی ہیں,کمی کرنا,مضارع معروف,تثنیہ,مونث,متکلم
نَبْخَسُ,فتح,بخس,ہم (سب عورتیں) کمی کرتی ہیں,کمی کرنا,مضارع معروف,جمع,مونث,متکلم
لَا یَبْخَسُ,فتح,بخس,وہ (ایک مرد)  نہیں کمی کرتا ہے,کمی کرنا,مضارع معروف نفی,واحد,مذکر,غائب
لَا یَبْخَسَانِ,فتح,بخس,وہ (دو مرد)  نہیں کمی کرتے ہیں,کمی کرنا,مضارع معروف نفی,تثنیہ,مذکر,غائب
لَا یَبْخَسُوْنَ,فتح,بخس,وہ (سب مرد)  نہیں کمی کرتے ہیں,کمی کرنا,مضارع معروف نفی,جمع,مذکر,غائب
لَا تَبْخَسُ,فتح,بخس,وہ (ایک عورت)  نہیں کمی کرتی ہے,کمی کرنا,مضارع معروف نفی,واحد,مونث,غائب
لَا تَبْخَسَانِ,فتح,بخس,وہ (دو عورتیں)  نہیں کمی کرتی ہیں,کمی کرنا,مضارع معروف نفی,تثنیہ,مونث,غائب
لَا یَبْخَسْنَ,فتح,بخس,وہ (سب عورتیں)  نہیں کمی کرتی ہیں,کمی کرنا,مضارع معروف نفی,جمع,مونث,غائب
لَا تَبْخَسُ,فتح,بخس,آپ (ایک مرد)  نہیں کمی کرتے ہو,کمی کرنا,مضارع معروف نفی,واحد,مذکر,حاضر
لَا تَبْخَسَانِ,فتح,بخس,آپ (دو مرد)  نہیں کمی کرتے ہو,کمی کرنا,مضارع معروف نفی,تثنیہ,مذکر,حاضر
لَا تَبْخَسُوْنَ,فتح,بخس,آپ (سب مرد)  نہیں کمی کرتے ہو,کمی کرنا,مضارع معروف نفی,جمع,مذکر,حاضر
لَا تَبْخَسِیْنَ,فتح,بخس,آپ (ایک عورت)  نہیں کمی کرتی ہو,کمی کرنا,مضارع معروف نفی,واحد,مونث,حاضر
لَا تَبْخَسَانِ,فتح,بخس,آپ (دو عورتیں)  نہیں کمی کرتی ہیں,کمی کرنا,مضارع معروف نفی,تثنیہ,مونث,حاضر
لَا تَبْخَسْنَ,فتح,بخس,آپ (سب عورتیں)  نہیں کمی کرتی ہیں,کمی کرنا,مضارع معروف نفی,جمع,مونث,حاضر
لَا اَبْخَسُ,فتح,بخس,میں (ایک مرد)  نہیں کمی کرتا ہوں,کمی کرنا,مضارع معروف نفی,واحد,مذکر,متکلم
لَا نَبْخَسُ,فتح,بخس,ہم (دو مرد)  نہیں کمی کرتے ہیں,کمی کرنا,مضارع معروف نفی,تثنیہ,مذکر,متکلم
لَا نَبْخَسُ,فتح,بخس,ہم (سب مرد)  نہیں کمی کرتے ہیں,کمی کرنا,مضارع معروف نفی,جمع,مذکر,متکلم
لَا اَبْخَسُ,فتح,بخس,میں (ایک عورت)  نہیں کمی کرتی ہوں,کمی کرنا,مضارع معروف نفی,واحد,مونث,متکلم
لَا نَبْخَسُ,فتح,بخس,ہم (دو عورتیں)  نہیں کمی کرتی ہیں,کمی کرنا,مضارع معروف نفی,تثنیہ,مونث,متکلم
لَا نَبْخَسُ,فتح,بخس,ہم (سب عورتیں)  نہیں کمی کرتی ہیں,کمی کرنا,مضارع معروف نفی,جمع,مونث,متکلم
جَمَعَ,فتح,جمع,اس (ایک مرد) نے  جمع کیا,جمع کرنا,ماضی معروف,واحد,مذکر,غائب
جَمَعَا,فتح,جمع,ان (دو مردوں) نے  جمع کیا,جمع کرنا,ماضی معروف,تثنیہ,مذکر,غائب
جَمَعُوْا,فتح,جمع,ان (سب مردوں) نے  جمع کیا,جمع کرنا,ماضی معروف,جمع,مذکر,غائب
جَمَعَتْ,فتح,جمع,اس (ایک عورت) نے  جمع کیا,جمع کرنا,ماضی معروف,واحد,مونث,غائب
جَمَعَتَا,فتح,جمع,ان (دو عورتوں) نے  جمع کیا,جمع کرنا,ماضی معروف,تثنیہ,مونث,غائب
جَمَعْنَ,فتح,جمع,ان (سب عورتوں) نے  جمع کیا,جمع کرنا,ماضی معروف,جمع,مونث,غائب
جَمَعْتَ,فتح,جمع,آپ ایک مرد نے  جمع کیا,جمع کرنا,ماضی معروف,واحد,مذکر,حاضر
جَمَعْتُمَا,فتح,جمع,آپ دو مردوں نے  جمع کیا,جمع کرنا,ماضی معروف,تثنیہ,مذکر,حاضر
جَمَعْتُمْ,فتح,جمع,آپ سب مردوں نے  جمع کیا,جمع کرنا,ماضی معروف,جمع,مذکر,حاضر
جَمَعْتِ,فتح,جمع,آپ (ایک عورت) نے  جمع کیا,جمع کرنا,ماضی معروف,واحد,مونث,حاضر
جَمَعْتُمَا,فتح,جمع,آپ (دو عورتوں) نے  جمع کیا,جمع کرنا,ماضی معروف,تثنیہ,مونث,حاضر
جَمَعْتُنَّ,فتح,جمع,آپ (سب عورتوں) نے  جمع کیا,جمع کرنا,ماضی معروف,جمع,مونث,حاضر
جَمَعْتُ,فتح,جمع,میں (ایک مرد) نے  جمع کیا,جمع کرنا,ماضی معروف,واحد,مذکر,متکلم
جَمَعْنَا,فتح,جمع,ہم (دو مردوں) نے  جمع کیا,جمع کرنا,ماضی معروف,تثنیہ,مذکر,متکلم
جَمَعْنَا,فتح,جمع,ہم (سب مردوں) نے  جمع کیا,جمع کرنا,ماضی معروف,جمع,مذکر,متکلم
جَمَعْتُ,فتح,جمع,میں (ایک عورت) نے  جمع کیا,جمع کرنا,ماضی معروف,واحد,مونث,متکلم
جَمَعْنَا,فتح,جمع,ہم (دو عورتوں) نے  جمع کیا,جمع کرنا,ماضی معروف,تثنیہ,مونث,متکلم
جَمَعْنَا,فتح,جمع,ہم (سب عورتوں) نے  جمع کیا,جمع کرنا,ماضی معروف,جمع,مونث,متکلم
مَا جَمَعَ,فتح,جمع,اس (ایک مرد) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,واحد,مذکر,غائب
مَا جَمَعَا,فتح,جمع,ان (دو مردوں) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,تثنیہ,مذکر,غائب
مَا جَمَعُوْا,فتح,جمع,ان (سب مردوں) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,جمع,مذکر,غائب
مَا جَمَعَتْ,فتح,جمع,اس (ایک عورت) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,واحد,مونث,غائب
مَا جَمَعَتَا,فتح,جمع,ان (دو عورتوں) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,تثنیہ,مونث,غائب
مَا جَمَعْنَ,فتح,جمع,ان (سب عورتوں) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,جمع,مونث,غائب
مَا جَمَعْتَ,فتح,جمع,آپ ایک مرد نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,واحد,مذکر,حاضر
مَا جَمَعْتُمَا,فتح,جمع,آپ دو مردوں نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,تثنیہ,مذکر,حاضر
مَا جَمَعْتُمْ,فتح,جمع,آپ سب مردوں نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,جمع,مذکر,حاضر
مَا جَمَعْتِ,فتح,جمع,آپ (ایک عورت) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,واحد,مونث,حاضر
مَا جَمَعْتُمَا,فتح,جمع,آپ (دو عورتوں) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,تثنیہ,مونث,حاضر
مَا جَمَعْتُنَّ,فتح,جمع,آپ (سب عورتوں) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,جمع,مونث,حاضر
مَا جَمَعْتُ,فتح,جمع,میں (ایک مرد) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,واحد,مذکر,متکلم
مَا جَمَعْنَا,فتح,جمع,ہم (دو مردوں) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,تثنیہ,مذکر,متکلم
مَا جَمَعْنَا,فتح,جمع,ہم (سب مردوں) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,جمع,مذکر,متکلم
مَا جَمَعْتُ,فتح,جمع,میں (ایک عورت) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,واحد,مونث,متکلم
مَا جَمَعْنَا,فتح,جمع,ہم (دو عورتوں) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,تثنیہ,مونث,متکلم
مَا جَمَعْنَا,فتح,جمع,ہم (سب عورتوں) نے  نہیں  جمع کیا,جمع کرنا,ماضی معروف نفی,جمع,مونث,متکلم
یَجْمَعُ,فتح,جمع,وہ (ایک مرد) جمع کرتا ہے,جمع کرنا,مضارع معروف,واحد,مذکر,غائب
یَجْمَعَانِ,فتح,جمع,وہ (دو مرد) جمع کرتے ہیں,جمع کرنا,مضارع معروف,تثنیہ,مذکر,غائب
یَجْمَعُوْنَ,فتح,جمع,وہ (سب مرد) جمع کرتے ہیں,جمع کرنا,مضارع معروف,جمع,مذکر,غائب
تَجْمَعُ,فتح,جمع,وہ (ایک عورت) جمع کرتی ہے,جمع کرنا,مضارع معروف,واحد,مونث,غائب
تَجْمَعَانِ,فتح,جمع,وہ (دو عورتیں) جمع کرتی ہیں,جمع کرنا,مضارع معروف,تثنیہ,مونث,غائب
یَجْمَعْنَ,فتح,جمع,وہ (سب عورتیں) جمع کرتی ہیں,جمع کرنا,مضارع معروف,جمع,مونث,غائب
تَجْمَعُ,فتح,جمع,آپ (ایک مرد) جمع کرتے ہو,جمع کرنا,مضارع معروف,واحد,مذکر,حاضر
تَجْمَعَانِ,فتح,جمع,آپ (دو مرد) جمع کرتے ہو,جمع کرنا,مضارع معروف,تثنیہ,مذکر,حاضر
تَجْمَعُوْنَ,فتح,جمع,آپ (سب مرد) جمع کرتے ہو,جمع کرنا,مضارع معروف,جمع,مذکر,حاضر
تَجْمَعِیْنَ,فتح,جمع,آپ (ایک عورت) جمع کرتی ہو,جمع کرنا,مضارع معروف,واحد,مونث,حاضر
تَجْمَعَانِ,فتح,جمع,آپ (دو عورتیں) جمع کرتی ہیں,جمع کرنا,مضارع معروف,تثنیہ,مونث,حاضر
تَجْمَعْنَ,فتح,جمع,آپ (سب عورتیں) جمع کرتی ہیں,جمع کرنا,مضارع معروف,جمع,مونث,حاضر
اَجْمَعُ,فتح,جمع,میں (ایک مرد) جمع کرتا ہوں,جمع کرنا,مضارع معروف,واحد,مذکر,متکلم
نَجْمَعُ,فتح,جمع,ہم (دو مرد) جمع کرتے ہیں,جمع کرنا,مضارع معروف,تثنیہ,مذکر,متکلم
نَجْمَعُ,فتح,جمع,ہم (سب مرد) جمع کرتے ہیں,جمع کرنا,مضارع معروف,جمع,مذکر,متکلم
اَجْمَعُ,فتح,جمع,میں (ایک عورت) جمع کرتی ہوں,جمع کرنا,مضارع معروف,واحد,مونث,متکلم
نَجْمَعُ,فتح,جمع,ہم (دو عورتیں) جمع کرتی ہیں,جمع کرنا,مضارع معروف,تثنیہ,مونث,متکلم
نَجْمَعُ,فتح,جمع,ہم (سب عورتیں) جمع کرتی ہیں,جمع کرنا,مضارع معروف,جمع,مونث,متکلم
لَا یَجْمَعُ,فتح,جمع,وہ (ایک مرد)  نہیں جمع کرتا ہے,جمع کرنا,مضارع معروف نفی,واحد,مذکر,غائب
لَا یَجْمَعَانِ,فتح,جمع,وہ (دو مرد)  نہیں جمع کرتے ہیں,جمع کرنا,مضارع معروف نفی,تثنیہ,مذکر,غائب
لَا یَجْمَعُوْنَ,فتح,جمع,وہ (سب مرد)  نہیں جمع کرتے ہیں,جمع کرنا,مضارع معروف نفی,جمع,مذکر,غائب
لَا تَجْمَعُ,فتح,جمع,وہ (ایک عورت)  نہیں جمع کرتی ہے,جمع کرنا,مضارع معروف نفی,واحد,مونث,غائب
لَا تَجْمَعَانِ,فتح,جمع,وہ (دو عورتیں)  نہیں جمع کرتی ہیں,جمع کرنا,مضارع معروف نفی,تثنیہ,مونث,غائب
لَا یَجْمَعْنَ,فتح,جمع,وہ (سب عورتیں)  نہیں جمع کرتی ہیں,جمع کرنا,مضارع معروف نفی,جمع,مونث,غائب
لَا تَجْمَعُ,فتح,جمع,آپ (ایک مرد)  نہیں جمع کرتے ہو,جمع کرنا,مضارع معروف نفی,واحد,مذکر,حاضر
لَا تَجْمَعَانِ,فتح,جمع,آپ (دو مرد)  نہیں جمع کرتے ہو,جمع کرنا,مضارع معروف نفی,تثنیہ,مذکر,حاضر
لَا تَجْمَعُوْنَ,فتح,جمع,آپ (سب مرد)  نہیں جمع کرتے ہو,جمع کرنا,مضارع معروف نفی,جمع,مذکر,حاضر
لَا تَجْمَعِیْنَ,فتح,جمع,آپ (ایک عورت)  نہیں جمع کرتی ہو,جمع کرنا,مضارع معروف نفی,واحد,مونث,حاضر
لَا تَجْمَعَانِ,فتح,جمع,آپ (دو عورتیں)  نہیں جمع کرتی ہیں,جمع کرنا,مضارع معروف نفی,تثنیہ,مونث,حاضر
لَا تَجْمَعْنَ,فتح,جمع,آپ (سب عورتیں)  نہیں جمع کرتی ہیں,جمع کرنا,مضارع معروف نفی,جمع,مونث,حاضر
لَا اَجْمَعُ,فتح,جمع,میں (ایک مرد)  نہیں جمع کرتا ہوں,جمع کرنا,مضارع معروف نفی,واحد,مذکر,متکلم
لَا نَجْمَعُ,فتح,جمع,ہم (دو مرد)  نہیں جمع کرتے ہیں,جمع کرنا,مضارع معروف نفی,تثنیہ,مذکر,متکلم
لَا نَجْمَعُ,فتح,جمع,ہم (سب مرد)  نہیں جمع کرتے ہیں,جمع کرنا,مضارع معروف نفی,جمع,مذکر,متکلم
لَا اَجْمَعُ,فتح,جمع,میں (ایک عورت)  نہیں جمع کرتی ہوں,جمع کرنا,مضارع معروف نفی,واحد,مونث,متکلم
لَا نَجْمَعُ,فتح,جمع,ہم (دو عورتیں)  نہیں جمع کرتی ہیں,جمع کرنا,مضارع معروف نفی,تثنیہ,مونث,متکلم
لَا نَجْمَعُ,فتح,جمع,ہم (سب عورتیں)  نہیں جمع کرتی ہیں,جمع کرنا,مضارع معروف نفی,جمع,مونث,متکلم
صَلَحَ,فتح,صلح,وہ (ایک مرد)  نیک ہوا,نیک ہونا,ماضی معروف,واحد,مذکر,غائب
صَلَحَا,فتح,صلح,وہ (دو مرد)  نیک ہوئے,نیک ہونا,ماضی معروف,تثنیہ,مذکر,غائب
صَلَحُوْا,فتح,صلح,وہ (سب مرد)  نیک ہوئے,نیک ہونا,ماضی معروف,جمع,مذکر,غائب
صَلَحَتْ,فتح,صلح,وہ (ایک عورت)  نیک ہوئی,نیک ہونا,ماضی معروف,واحد,مونث,غائب
صَلَحَتَا,فتح,صلح,وہ (دو عورتیں)  نیک ہوئیں,نیک ہونا,ماضی معروف,تثنیہ,مونث,غائب
صَلَحْنَ,فتح,صلح,وہ (سب عورتیں)  نیک ہوئیں,نیک ہونا,ماضی معروف,جمع,مونث,غائب
صَلَحْتَ,فتح,صلح,آپ (ایک مرد)  نیک ہوئے,نیک ہونا,ماضی معروف,واحد,مذکر,حاضر
صَلَحْتُمَا,فتح,صلح,آپ (دو مرد)  نیک ہوئے,نیک ہونا,ماضی معروف,تثنیہ,مذکر,حاضر
صَلَحْتُمْ,فتح,صلح,آپ (سب مرد)  نیک ہوئے,نیک ہونا,ماضی معروف,جمع,مذکر,حاضر
